Utility Name,Date,Time,Latitude,Longitude,Material,Land use,Size,Suppressed By,Suppressing Agency,Facility Identification,Other Companies,Voltage,type,Was There Date,HFRA,cGIS HFRA HFTD,,Outage date,outage time,suspected equipment,Contributing Factor,Facility Contacted,Circuit,FIPA Form Name
SCE,8/2/20,16:46,34.6486,-118.123,Vegetation,Urban,Less Than,,Los Angeles County Fire Department,OH-955925E,No,,Distributio Conductor Overhead  No,,Non-HFRA N,,Frontier Co 12,,,Wire-Wire Contact,,Weather,Thunderbolt,FIPA_2020_0802_1646
SCE,8/3/20,10:33,34.0758,-116.555,Other,Rural,Less Than,,,OH-2107480E,T2,12,Distributio Conductor Overhead  Yes,,Tier 2,Y,None,8/3/20,19:15,,Contact From Object  Balloons   Electric Fa  Outside Force,,Morongo,FIPA_2020_0803_1033
SCE,8/4/20,18:34,34.7007,,-118.1335 Vegetation,Urban,Less Than,,Los Angeles County Fire Department,OH-622156E,No,12,Distributio Conductor Overhead  Yes,,Non-HFRA N,,None,8/4/20,18:30,Wire-Wire Contact,,Weather,Airport,FIPA_2020_0804_1834
SCE,8/5/20,20:06,33.7788,-117.93,Vegetation,Urban,Less Than,,,OH-970202E,No,,Distributio Other,Overhead  Yes,Non-HFRA N,,AT&T CALI 12,8/5/20,20:06,Equipmen  Other,,Other,Mercedes,FIPA_2020_0805_2006
SCE,8/9/20,8:53,33.9348,16.994,Vegetation,Rural,Less Than,,,OH-705838E,T2,12,Distributio Conductor Overhead  Yes,,Tier 2,Y,None,8/9/20,8:53,,Contact From Object  Balloons   Electric Fa  Outside Force,,Morello,FIPA_2020_0809_0853
SCE,8/10/20,14:35,35.1021,-118.539,Vegetation,Rural,Less Than,,,OH-2093506E,T3,,Distributio Conductor Overhead  No,,Tier 3,Y,AT&T CALI 12,,,Other,,Human Error,Mettler,FIPA_2020_0810_1435
SCE,8/12/20,14:40,33.9486,-116.97,Vegetation,Urban,Less Than,,Beaumont Fire Department,OH-1996482E,No,,Distributio Conductor Overhead  No,,Non-HFRA N,,Frontier Co 12,,,Equipmen  Conductor,,Unknown,Bing,FIPA_2020_0812_1440
SCE,8/13/20,21:48,34.3687,-118.516,Vegetation,Urban,.26 - 9.99,,Los Angeles County Fire Department,OH-4103978E,T3,,Distributio Conductor Overhead  Yes,,Tier 3,Y,AT&T CALI 16,8/13/20,21:48,Equipmen  Conductor,,Other,Lyons,FIPA_2020_0813_2148
SCE,8/15/20,19:02,34.2159,-118.86,Vegetation,Urban,Less Than,,Ventura County Fire Department,OH-1296864E,T3,,Distributio Conductor Overhead  Yes,,Tier 3,Y,Frontier Co 16,8/15/20,19:01,Equipmen  Conductor,,Other,Hampshire,FIPA_2020_0815_1902
SCE,8/16/20,16:13,36.3048,-119.21,Vegetation,Urban,Less Than,,Farmsville Fire Department,OH-4505923E,No,12,Distributio Transform  Overhead  Yes,,Non-HFRA N,,None,8/16/20,16:13,Equipmen  Transformer,,Other,Hart,FIPA_2020_0816_1613
